,Substrate ,Microorganism,Reactoe/Mode,pH,Temperature °C,Hydrogen yield,Refrence ,Incitatiom,Location,,,
,Glucose 10 g/dm³,Clostridiaceae and Flexibacteraceae,Membrane Continuous,5.5,35,4 mol H2/mol glucose,"Oh, S., Iyer, P., Bruns, M. A., & Logan, B. E. (2004). Biological hydrogen production using a membrane bioreactor. Biotechnology and Bioengineering, 87(1), 119–127. https://doi.org/10.1002/bit.20127","(Oh et al., 2004)",https://sci-hub.se/https://doi.org/10.1002/bit.20127,,,
,Glucose,E. cloacae,Batch,6,-,5.7 mol H2/mol glucose,"Sun, L., Huang, A., Gu, W., Ma, Y., Zhu, D., & Wang, G. (2014). Hydrogen production by Enterobacter cloacae isolated from sugar refinery sludge. International Journal of Hydrogen Energy, 40(3), 1402–1407. https://doi.org/10.1016/j.ijhydene.2014.11.121","(Sun et al., 2014)",https://sci-hub.se/10.1016/j.ijhydene.2014.11.121,,,
,Glucose 10 g/dm³,Mixed culture from compost,Batch,5.6,60,2.1 mol H2/mol glucose,"Morimoto, M., Atsuko, M., Atif, A., Ngan, M., Fakhru’l-Razi, A., Iyuke, S., & Bakir, A. (2003). Biological production of hydrogen from glucose by natural anaerobic microflora. International Journal of Hydrogen Energy, 29(7), 709–713. https://doi.org/10.1016/j.ijhydene.2003.09.009","(Morimoto et al., 2003)",https://sci-hub.se/https://doi.org/10.1016/j.ijhydene.2003.09.009 ,,,
,Glucose 20 g COD/dm³,Clostridia sp.,CSTR Continuous,6,28–32,1.42 mol H2/mol glucose,"Lin, C. (2003). Fermentative hydrogen production at ambient temperature. International Journal of Hydrogen Energy, 29(7), 715–720. https://doi.org/10.1016/j.ijhydene.2003.09.002","(Lin, 2003)",https://sci-hub.se/https://doi.org/10.1016/j.ijhydene.2003.09.002,,,
,Glucose 7 g/dm³,Mixed culture,CSTR Continuous,5.5,36,2.1 mol H2/mol glucose,"Fang, H. H., & Liu, H. (2002). Effect of pH on hydrogen production from glucose by a mixed culture. Bioresource Technology, 82(1), 87–93. https://doi.org/10.1016/s0960-8524(01)00110-9","(Fang & Liu, 2002)",https://sci-hub.se/https://doi.org/10.1016/S0960-8524(01)00110-9, ,,
,Glucose,Mixed culture,UASB Continuous,7,32,2.46 mol H2/mol glucose,"Kotsopoulos, T. A., Zeng, R. J., & Angelidaki, I. (2006). Biohydrogen production in granular up-flow anaerobic sludge blanket (UASB) reactors with mixed cultures under hyper-thermophilic temperature (70°C). Biotechnology and Bioengineering, 94(2), 296–302. https://doi.org/10.1002/bit.20844","(Kotsopoulos et al., 2006)",https://sci-hub.se/10.1002/bit.20844,,,
,Glucose ,Mixed culture,bioreactor,5.5,60,4 mol of H2/mol ,"Jain, R., Panwar, N. L., Jain, S. K., Gupta, T., Agarwal, C., & Meena, S. S. (2022). Bio-hydrogen production through dark fermentation: an overview. Biomass Conversion and Biorefinery, 14(12), 12699–12724. https://doi.org/10.1007/s13399-022-03282-7","(Jain et al., 2022)",https://www.researchgate.net/publication/363496474_Bio-hydrogen_production_through_dark_fermentation_an_overview,,,
,Sucrose 10 g/dm³,E. cloacae IIT-BT 08,Batch,6,36,6 mol H2/mol sucrose,"Jain, R., Panwar, N. L., Jain, S. K., Gupta, T., Agarwal, C., & Meena, S. S. (2022). Bio-hydrogen production through dark fermentation: an overview. Biomass Conversion and Biorefinery, 14(12), 12699–12724. https://doi.org/10.1007/s13399-022-03282-7","(Jain et al., 2022)",file:///C:/Users/Hagar/Downloads/Bio-hydrogenproductionthroughdarkfermentationanoverview%20(2).pdf ,,,
,glucose,Mixed culture,CSTR Continuous,6.8,37,1.98 mol H2/mol glucose,"Baeyens, J., Zhang, H., Nie, J., Appels, L., Dewil, R., Ansart, R., & Deng, Y. (2020). Reviewing the potential of bio-hydrogen production by fermentation. Renewable and Sustainable Energy Reviews, 131, 110023. https://doi.org/10.1016/j.rser.2020.110023","(Baeyens et al., 2020)",https://sci-hub.se/https://doi.org/10.1016/j.rser.2020.110023 ,"Baeyens, J., Zhang, H., Nie, J., Appels, L., Dewil, R., Ansart, R., & Deng, Y. (2020). Reviewing the potential of bio-hydrogen production by fermentation. Renewable and Sustainable Energy Reviews, 131, 110023. https://doi.org/10.1016/j.rser.2020.110023","(Baeyens et al., 2020)",
,Sucrose 25 g/dm³,Mixed culture,Batch,5.5,34,2 g/mol for H2,"Baeyens, J., Zhang, H., Nie, J., Appels, L., Dewil, R., Ansart, R., & Deng, Y. (2020). Reviewing the potential of bio-hydrogen production by fermentation. Renewable and Sustainable Energy Reviews, 131, 110023. https://doi.org/10.1016/j.rser.2020.110024","(Baeyens et al., 2020)",https://sci-hub.se/https://doi.org/10.1016/j.rser.2020.110024,"Baeyens, J., Zhang, H., Nie, J., Appels, L., Dewil, R., Ansart, R., & Deng, Y. (2020). Reviewing the potential of bio-hydrogen production by fermentation. Renewable and Sustainable Energy Reviews, 131, 110023. https://doi.org/10.1016/j.rser.2020.110024","(Baeyens et al., 2020)",
