Substrate,Microbial Inoculum,Reactor / Mode,pH,Temp (°C),Original Yield,Original Unit,Conversion Calculation & Notes,Unit Group,ref,y,explicitly_excluded,y_recomputed,flag_arithmetic,flag_unit_suspect,flag_per_slurry,flag_review_duplicate,flag_mw_basis,flag_above_thauer,flag_exact_duplicate,pH_numeric,T_numeric,flag_pH_derived,flag_T_derived,recommended_for_modelling,sub_cat,inoc_cat,react_cat,mode,pHn,Tn
Food waste,Heat-treated granular sludge (UASB brewery),Batch,5.5,35,0.152,dm³ H₂/g VS,Direct dm³/g VS (no conversion),Group A,"Alibardi & Cossu, 2014",0.152,False,0.152,False,False,False,False,False,False,False,5.5,35.0,False,False,True,Food/kitchen waste,Granular sludge,Generic / Batch,Batch,5.5,35.0
Kitchen waste,Heat-treated granular sludge,Batch,5.5,35,0.005,dm³ H₂/g VS,Direct dm³/g VS,Group A,"Alibardi & Cossu, 2014",0.005,False,0.005,False,False,False,False,False,False,False,5.5,35.0,False,False,True,Food/kitchen waste,Granular sludge,Generic / Batch,Batch,5.5,35.0
Vegetables,Heat-treated granular sludge,Batch,5.5,35 ± 1,0.013,dm³ H₂/g VS,Direct dm³/g VS,Group A,"Alibardi & Cossu, 2014",0.013,False,0.013,False,False,False,False,False,False,False,5.5,35.0,False,True,True,Food/kitchen waste,Granular sludge,Generic / Batch,Batch,5.5,35.0
OFMSW (mixed real waste),Heat-treated granular sludge,Batch,5.5,35 ± 1,0.07,dm³ H₂/g VS,Direct dm³/g VS,Group A,"Alibardi & Cossu, 2014",0.07,False,0.07,False,False,False,False,False,False,False,5.5,35.0,False,True,True,Municipal solid waste,Granular sludge,Generic / Batch,Batch,5.5,35.0
Wheat straw,Thermoanaerobacterium thermosaccharolyticum M18,Batch,,60,3.53,mmol H₂/g,mmol H₂/g × 22.414 ÷ 1000 → dm³ H₂/g,Group A,"Cao et al., 2014",0.079121,False,0.07912142,False,False,False,False,False,False,False,,60.0,False,False,True,Lignocellulosic,Thermophilic pure culture,Generic / Batch,Batch,,60.0
Barley hulls,Clostridium thermocellum ATCC 27405,Batch,,60,1.07,mmol H₂/g,mmol H₂/g × 22.414 ÷ 1000 → dm³ H₂/g,Group A,"Cao et al., 2014",0.023983,False,0.02398298,False,False,False,False,False,False,False,,60.0,False,False,True,Lignocellulosic,Thermophilic pure culture,Generic / Batch,Batch,,60.0
Corn stalk,Clostridium sartagoforme FZ11,Batch,,35–45,87.2,cm³ H₂/g,cm³ H₂/g VS ÷ 1000 → dm³ H₂/g VS,Group A,"Cao et al., 2014",0.0872,False,0.0872,False,False,False,False,False,False,False,,40.0,False,True,True,Lignocellulosic,Clostridium spp.,Generic / Batch,Batch,,40.0
Grass,Mixed culture,Batch,,35,4.39,cm³ H₂/g,cm³ H₂/g VS ÷ 1000 → dm³ H₂/g VS,Group A,"Cao et al., 2014",0.00439,False,0.00439,False,False,False,False,False,False,False,,35.0,False,False,True,Lignocellulosic,Mixed culture,Generic / Batch,Batch,,35.0
Wheat straw (WST),Caldicellulosiruptor saccharolyticus DSM8903,Batch (anaerobic vials),7.2,70,44.68,L H₂/kg dry biomass,L H₂/kg dry biomass × 0.001 → dm³ H₂/g,Group A,"Ivanova et al., 2009",0.04468,False,0.04468,False,False,False,False,False,False,False,7.2,70.0,False,False,True,Lignocellulosic,Thermophilic pure culture,Generic / Batch,Batch,7.2,70.0
Pretreated maize leaves (PML),C. saccharolyticus DSM8903,Batch,7.2,70,38.14,L H₂/kg dry biomass,L H₂/kg dry biomass × 0.001 → dm³ H₂/g,Group A,"Ivanova et al., 2009",0.03814,False,0.03814,False,False,False,False,False,False,False,7.2,70.0,False,False,True,Lignocellulosic,Clostridium spp.,Generic / Batch,Batch,7.2,70.0
Sweet sorghum plant (SSP),C. saccharolyticus DSM8903,Batch,7.2,70,30.17,L H₂/kg dry biomass,L H₂/kg dry biomass × 0.001 → dm³ H₂/g,Group A,"Ivanova et al., 2009",0.03017,False,0.030170000000000002,False,False,False,False,False,False,False,7.2,70.0,False,False,True,Lignocellulosic,Clostridium spp.,Generic / Batch,Batch,7.2,70.0
Sugarcane bagasse (BGS),C. saccharolyticus DSM8903,Batch,7.2,70,18.21,L H₂/kg dry biomass,L H₂/kg dry biomass × 0.001 → dm³ H₂/g,Group A,"Ivanova et al., 2009",0.01821,False,0.01821,False,False,False,False,False,False,False,7.2,70.0,False,False,True,Lignocellulosic,Clostridium spp.,Generic / Batch,Batch,7.2,70.0
Untreated maize leaves (UML),C. saccharolyticus DSM8903,Batch,7.2,70,15.33,L H₂/kg dry biomass,L H₂/kg dry biomass × 0.001 → dm³ H₂/g,Group A,"Ivanova et al., 2009",0.01533,False,0.01533,False,False,False,False,False,False,False,7.2,70.0,False,False,True,Lignocellulosic,Clostridium spp.,Generic / Batch,Batch,7.2,70.0
Silphium leaves (STR),C. saccharolyticus DSM8903,Batch,7.2,70,8.14,L H₂/kg dry biomass,L H₂/kg dry biomass × 0.001 → dm³ H₂/g,Group A,"Ivanova et al., 2009",0.00814,False,0.008140000000000001,False,False,False,False,False,False,False,7.2,70.0,False,False,True,Lignocellulosic,Clostridium spp.,Generic / Batch,Batch,7.2,70.0
Delignified wood,Clostridium thermocellum 27405,Batch fermentation,6.38,60,1.6,mol H₂/mol glucose equivalent,mol H₂/mol glucose eq. × 22.414 ÷ 180.16 → dm³ H₂/g (complex substrate; glucose MW used as conservative basis),Group C,"Levin et al., 2006",0.1991,False,0.19905861456483126,False,False,False,False,False,False,False,6.38,60.0,False,False,True,Lignocellulosic,Thermophilic pure culture,Generic / Batch,Batch,6.38,60.0
Cellobiose,Clostridium thermocellum 27405,Batch fermentation,7.28,60,1.5,mol H₂/mol glucose equivalent,mol H₂/mol cellobiose eq. × 22.414 ÷ 342.30 g/mol (cellobiose MW) → dm³ H₂/g,Group B,"Levin et al., 2006",0.0982,False,0.09822085889570552,False,False,False,False,False,False,False,7.28,60.0,False,False,True,Simple sugars/starch,Thermophilic pure culture,Generic / Batch,Batch,7.28,60.0
Glucose,Clostridiaceae & Flexibacteraceae,Membrane/Continuous,5.5,35,4.0,mol H₂/mol glucose,mol H₂/mol glucose × 22.414 ÷ 180.16 → dm³ H₂/g,Group B,"Łukajtis et al., 2018",0.4976,False,0.4976465364120782,False,False,False,False,False,False,False,5.5,35.0,False,False,True,Simple sugars/starch,Clostridium spp.,Membrane / Continuous,Continuous,5.5,35.0
Glucose,Mixed culture (WWTP sludge),Batch,4.4,35,0.55,mol H₂/mol glucose,mol H₂/mol glucose × 22.414 ÷ 180.16 → dm³ H₂/g,Group B,"Łukajtis et al., 2018",0.0684,False,0.06842639875666076,False,False,False,False,False,False,False,4.4,35.0,False,False,True,Simple sugars/starch,Sewage/WWTP sludge,Generic / Batch,Batch,4.4,35.0
Sucrose,Enterobacter cloacae IIT-BT 08,Batch,5.5,34,2.0,mol H₂/mol sucrose,mol H₂/mol sucrose × 22.414 ÷ 342.30 → dm³ H₂/g,Group B,"Łukajtis et al., 2018",0.131,False,0.13096114519427404,False,False,False,False,False,False,False,5.5,34.0,False,False,True,Simple sugars/starch,Enterobacteriaceae,Generic / Batch,Batch,5.5,34.0
