substrate ,microorganism,reactoe / mode,pH,temperature °C,hydrogen-yield,refrence
glucose,clostridiaceae and flexibacteraceae,membrane / continuous,5.5,35,4 mol H2 /mol glucose,"(Oh et al., 2004)"
glucose,enterobacter cloacae,batch,6,na,5.7 mol H2 /mol glucose,"(Sun et al., 2014)"
glucose,mixed culture from compost,batch,5.6,60,2.1 mol H2 /mol glucose,"(Morimoto et al., 2003)"
glucose,clostridia sp.,cstr / continuous,6,28–32,1.42 mol H2 /mol glucose,"(Lin, 2003)"
glucose,mixed culture,cstr / continuous,5.5,36,2.1 mol H2 /mol glucose,"(Fang & Liu, 2002)"
glucose,mixed culture,uasb / continuous,7,32,2.46 mol H2 /mol glucose,"(Kotsopoulos et al., 2006)"
glucose,e. cloacae iit-bt 08,batch,6,36,6 mol H2 /mol sucrose,"(Jain et al., 2022)"
glucose,mixed culture,cstr / continuous,6.8,37,1.98 mol H2 /mol glucose,"(Baeyens et al., 2020)"
sucrose,mixed culture,batch,5.5,34,10.02 mol H2 /mol sucrose,"(Baeyens et al., 2020)"
sucrose,enterobacter cloacae iit-bt 08,batch,5.5,34,2.00 mol H2  /mol-glucose,"(?ukajtis et al., 2018)"
lactose,clostridium thermolacticum,cstr / continuous,5.8,34,1.5 mol H2 /mol lactose,"(Collet, 2004)"
d-xylose,e. cloacae iit-bt 08,batch,6,36,0.95 mol H2 /mol xylose,"(?ukajtis et al., 2018)"
l-arabinose,e. cloacae iit-bt 08,batch,6,36,1.5 mol H2 /mol arabinose,"(Bundhoo et al., 2015)"
kitchen waste,mixed culture,plug flow reactor / continuous,5.5,37,76 cm³ H2 /g VS,"(Slezak et al., 2017)"
municipal solid waste,mixed culture,cstr / semi-continuous,5.7,55,70.7 cm³ H2 /g VS,"(?ukajtis et al., 2018)"
organic municipal waste mixed with slaughterhouse waste ,mesophilic anaerobic sludge,erlenmeyer flask / continuous,6,60–37,71.3 cm³ H2 /g VS,"(?ukajtis et al., 2018)"
kitchen waste,anaerobic digester sludge,cstr / continuous,5.0–5.5,55,66 cm³ H2 /g VS,"(Chu et al., 2012)"
synthetic food waste,anaerobic sludge from uasb treating cassava wastewater,two-stage / batch,6,37,57 cm³ H2 /g VS,(Nathao et al. 2013)
food waste,mixed culture from anaerobic sludge,batch,6.9,55,3.8 mol H2 /mol glucose,"(?ukajtis et al., 2018)"
food waste,anaerobic digester sludge,cstr / continuous,5.1–5.5,34,20.5 cm³ H2 /kg VS,"(Redondas et al., 2011)"
kitchen waste,anaerobic sludge from batch operation,batch,5.5,55,NA,"(Yasin et al., 2011)"
food waste,anaerobic sludge from batch operation,batch,7.5,55,57 cm³ H2 /g VS,"(Pan et al., 2008)"
"mixture of slaughterhouse waste, food industry residues, hydrolyzing yeast and manure",mixed culture,cstr / continuous,6.8,55,16.5 cm³ H2 /g waste,"(?ukajtis et al., 2018)"
cheese whey,mixed culture,batch,5.2,35,0.98 mol H2 /mol glucose used,"(Ottaviano et al., 2016)"
cheese whey,mixed culture from uasb reactor,uasb / batch,4.5,55,3.1 mol H2 /mol lactose,"Azbar et al., 2009"
crude glycerol,enterobacter aerogenes hu-101,packed bed reactor / continuous,6.8,37°C,1.12 mol H2 /mol glycerol,"(Ito et al., 2005)"
palm oil mill effluent  ,mixed culture from cow dung,uasb / continuous,5,35,4.71 m³ H2 /m³ POME,"(Vijayaraghavan & Ahmad, 2006)
"
byproduct of biodiesel production from sunflower oil,mixed culture from anaerobic digester,ufcb continuous,6.8,35,0.52 mol H2  /mol glycerol,"(Dounavis et al., 2015)
"
wastewater from brewery plant,mixed culture from activated sludge,batch,5.5,35,2 mol H2 /mol Hexose,"(Chu et al., 2013)"
jatropha residue,mixed culture from activated sludge,cstr / continuous,5.5,37,148 cm³ H2 /g carboHydrate,"(Kumar et al., 2016)"
citric acid wastewater,na,uasb,7,36,0.84 mol H2 /mol Hexose,"(Slezak et al., 2017)"
cassava starch wastewater,mixed culture from uasb reactor granules and sediment,continuous,5.5,30,1.58 mol H2 /mol Hexose,"(Azbar et al., 2009)"
palm oil mill effluent,mixed culture,batch,7,55,313.41 mL H2  / g Ts removal,"(Kanchanasuta et al., 2017)"
rice straw,thermotoga neapolitana dsm 4539,batch,7.5,75,2.27 mmol H2 /g straw,"(Nguyen et al., 2010)"
rice straw,mixed culture from sewage sludge,batch,5.5,55,24.8 cm³ H2 /g DB,"(Chen et al., 2012)"
sugarcane bagasse,caldicellulosiruptor saccharolyticus,batch,7,70,2.30 mol H2 /mol glucose,"(Ivanova, Rákhely, & Kovács, 2009)"
corn stover,caldicellulosiruptor saccharolyticus,batch,7,70,1.80 mol H2 /mol glucose,"(Ivanova, Rákhely, & Kovács, 2009)"
wheat straw,caldicellulosiruptor saccharolyticus,batch,7,70,3.80 mol H2 /mol glucose,"(Ivanova, Rákhely, & Kovács, 2009)"
wood fibers,clostridium thermocellum atcc 27405,batch,7,60,2.32 mol H2 /mol glucose,"(Levin et al., 2006)"
corn stover,mixed culture,batch,7,35,25.30 cm³ H2 /g DB,"(Rydén & Lyngfelt, 2006)"
wheat straw,clostridium pasteurianum,batch,7.5,70,78.5 cm³ H2 /g DB,"(Zhi & Wang, 2014)"
corn stover,ethanoligenens harbinense b49,batch,7.5,37,72 cm³ H2 /g,"(Xu & Deshusses, 2015)"
rice straw,thermoanaerobacterium,batch,7,60,80.3 cm³ H2 /g,"(Zhao et al., 2012)"
rice straw,thermoanaerobacterium,batch,7,60,2.70 mmol H2 /g straw,"(Show et al., 2012)"
sugarcane bagasse,clostridium butyricum,batch,6,37,1.73 mol H2 /mol total sugar,"(Pattra et al., 2008)"
cellulose,thermoanaerobacterium thermosaccharolyticum,batch,7.5,65,82.2 mmol H2 /g glucose,"(De Vrije et al., 2002)"
cellulose,thermoanaerobacterium thermosaccharolyticum,batch,7,50,11.74 mmol H2 /g glucose,"(Gonzales et al., 2016)"
cellulose,thermoanaerobacterium thermosaccharolyticum,batch,7.5,50,11.74 mmol H2 /g glucose,"(Gonzales et al., 2016)"
sweet sorghum bagasse,caldicellulosiruptor saccharolyticus,batch,6.8,72,2.61 mol H2 /mol Hexose,"(Gonzales et al., 2016)"
cellulose,thermoanaerobacterium,batch,7.5,80,12.2 mol H2 /mol glucose,"(Nguyen et al., 2008)"
sweet sorghum bagasse,caldicellulosiruptor saccharolyticus,batch,6.8,72,2.6 mol H2 /mol Hexose,"(Panagiotopoulos et al., 2010)"
glucose,beach sludge (tianjin),batch,7.2,37,0.20 mol H2 /mol glucose,"(Liu et al., 2009)"
pome ,anaerobic digested  sludge from a biogas reactor ,batch,7.3,37,0.17 mol H2 /mol glucose,"(O-Thong et al., 2008)"
sucrose,marine mixed microflora ,batch,7.4,37,0.11 mol H2 /mol glucose,"(Cai et al., 2009)"
glucose,anaerobic inoculum from ethanol facility,batch,7.5,37,0.45 mol H2 /mol glucose,"(Chaganti et al., 2012)"
glucose,digested sludge from digester of wwtp ,batch,7.6,44,1.76 mol H2 /mol glucose,"(Wang & Wan, 2008)"
sucrose,mixed cultures from sludge from anaerobic digester of wwtp,batch,5.6,60,0.43 mol H2 /mol Hexose,"(Zhu & Beland, 2006)"
glucose,anaerobic cultures from industrial and municipal wwtp,batch,5.7,60,0.45 mol H2 /mol Hexose,"(Pendyala et al., 2012)"
glucose,activated sludge from municipal wwtp ,batch,5.8,60,1.82 mol H2  / mol glucose,"(Chang et al., 2010)"
cow waste slurry,mixed culture,fermentor / batch,6.5,37-75,743 cm³ H2 /kg cow dung,"(?ukajtis et al., 2018)"
rice winery wastewater,mixed culture from wwtp,uasb,5.5,20-55,1.9 mol H2 /mol H2 xose,"(Yu et al., 2002)"
glucose,mixed culture,fermentor / batch,7,20-55,275.1 cm³/g glucose,"(Wang & Wan, 2008)"
glucose,bacillus coagulans iit-bt s1,fermentor / batch,6,28-40,9.17 mL H2 /g COD,"(Zheng et al., 2013)"
cellulose,thermoanaerobacterium thermosaccharolyticum,fermentor / batch,7,50-70,2.17 mol H2 /mol glucose,"(?ukajtis et al., 2018)"
organic waste,mixed culture,semi-continuous,6.5,40-80,360 cm³ H2 /g VS,"(Muri et al., 2016)"
sucrose,mixed culture,semi-continuous,6.25,45-80,2.53 mol H2 /mol Hexose,"(?ukajtis et al., 2018)"
grass silage,mixed culture from cow manure,fermentor / batch,6,"35, 55, 70",16 cm³ H2 /g VS,"(Wang & Yin, 2018b)"
sucrose,mixed culture from municipal sewage sludge,batch,5.5,na,4.70 mol H2 /mol sucrose,"(Chen et al., 2007)"
sucrose,mixed culture from wwtp sludge,continuous,6.7,35,3.91 mol H2 /mol sucrose,"(Lee et al., 2006)"
glucose,mixed culture from wwtp sludge,batch,4.4,35,0.55 mol H2 /mol glucose,"(?ukajtis et al., 2018)"
glucose,mixed culture from granular wwtp sludge,cstr/continuous,5.5,37,2.7 mol H2 /mol glucose,"(Tapia-Venegas et al., 2012)"
food wastes,mixed culture from wwtp sludge,na,5.5,na,13.13 N-L H2 /kg VS,"(?ukajtis et al., 2018)"
sweet sorghum,mixed culture,cstr/continuous,5.5,31,7.6 dm³ H2 /kg sweet sorghum,"(Antonopoulou et al., 2007)"
cassava wastewater + glucose,mixed culture from sp and sw sludge,na,6,30,1.33 mmol H2 /g COD,"(Rosa et al., 2014)"
switchgrass steam exploded liquor,mixed culture from brewery wastewater,uasb/continuous,6,37,2.56±0.10 mol/mol Hexose,"(Veeravalli et al., 2014)"
washing wastewater of beverage,mixed culture from wwtp,cstr/continuous,5,40,0.30±0.06 mol/mol Hexose,"(Liu et al., 2015)"
cheese whey,mixed culture from sugarcane stillage,Fluidized Bed Reactor/continuous,5,55,3.67±0.59 mol/mol lactose,"(Ottaviano et al., 2016)"
sewage biosolids,mixed culture,na,12,35,27.0 dm³ H2 /kg VS added,"(Massanet-Nicolau et al., 2009)"
coffee mucilage + organic waste,mixed culture,stirred-tank bioreactor / batch,6,35,0 mol H2 /mol Hexose,"(Cárdenas et al., 2018)"
coffee mucilage + organic waste,mixed culture,stirred-tank bioreactor / batch,5,30,0.0 mol H2 /mol Hexose,"(Cárdenas et al., 2018)"
coffee mucilage + organic waste,mixed culture,stirred-tank bioreactor / batch,5,40,0.0 mol H2 /mol Hexose,"(Cárdenas et al., 2018)"
coffee mucilage + organic waste,mixed culture,stirred-tank bioreactor / batch,7,30,0.149 mol H2 /mol Hexose,"(Cárdenas et al., 2018)"
coffee mucilage + organic waste,mixed culture,stirred-tank bioreactor / batch,7,40,0.107 mol H2 /mol Hexose,"(Cárdenas et al., 2018)"
coffee mucilage + organic waste,mixed culture,stirred-tank bioreactor / batch,5,30,0.101 mol H2 /mol Hexose,"(Cárdenas et al., 2018)"
coffee mucilage + organic waste,mixed culture,stirred-tank bioreactor / batch,5,40,0.082 mol H2 /mol Hexose,"(Cárdenas et al., 2018)"
coffee mucilage + organic waste,mixed culture,stirred-tank bioreactor / batch,7,30,0.248 mol H2 /mol Hexose,"(Cárdenas et al., 2018)"
coffee mucilage + organic waste,mixed culture,stirred-tank bioreactor / batch,7,40,0.176 mol H2 /mol Hexose,"(Cárdenas et al., 2018)"
coffee mucilage + organic waste,mixed culture,stirred-tank bioreactor / batch,5,30,0 mol H2 /mol Hexose,"(Cárdenas et al., 2018)"
coffee mucilage + organic waste,mixed culture,stirred-tank bioreactor / batch,5,40,0 mol H2 /mol Hexose,"(Cárdenas et al., 2018)"
coffee mucilage + organic waste,mixed culture,stirred-tank bioreactor / batch,7,30,0.079 mol H2 /mol Hexose,"(Cárdenas et al., 2018)"
