No.,Full Reference
1,"Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square. https://doi.org/10.21203/rs.3.rs-1965745/v1"
2,"Akinbomi, J., & Taherzadeh, M. (2015). Evaluation of fermentative hydrogen production from single and mixed fruit wastes. Energies, 8(5), 4253–4272. https://doi.org/10.3390/en8054253"
3,"Albuquerque, M. M., De Bona Sartor, G., Martinez-Burgos, W. J., Scapini, T., Edwiges, T., Soccol, C. R., & Medeiros, A. B. P. (2024). Biohydrogen produced via dark fermentation: A review. Methane, 3(3), 500–532. https://doi.org/10.3390/methane3030029"
4,"Alibardi, L., & Cossu, R. (2014). Composition variability of the organic fraction of municipal solid waste and effects on hydrogen and methane production potentials. Waste Management, 36, 147–155. https://doi.org/10.1016/j.wasman.2014.11.019"
5,"Alzate-Gaviria, L. M., Sebastian, P., Pérez-Hernández, A., & Eapen, D. (2007). Comparison of two anaerobic systems for hydrogen production from the organic fraction of municipal solid waste and synthetic wastewater. International Journal of Hydrogen Energy, 32(15), 3141–3146. https://doi.org/10.1016/j.ijhydene.2006.02.034"
6,"Azbar, N., Dokgöz, F. T., Keskin, T., Eltem, R., Korkmaz, K. S., Gezgin, Y., Akbal, Z., Öncel, S., Dalay, M. C., Gönen, Ç., & Tutuk, F. (2009). Comparative evaluation of bio-hydrogen production from cheese whey wastewater under thermophilic and mesophilic anaerobic conditions. International Journal of Green Energy, 6(2), 192–200. https://doi.org/10.1080/15435070902785027"
7,"Baeyens, J., Zhang, H., Nie, J., Appels, L., Dewil, R., Ansart, R., & Deng, Y. (2020). Reviewing the potential of bio-hydrogen production by fermentation. Renewable and Sustainable Energy Reviews, 131, 110023. https://doi.org/10.1016/j.rser.2020.110023"
8,"Bundhoo, M. Z., Mohee, R., & Hassan, M. A. (2015). Effects of pre-treatment technologies on dark fermentative biohydrogen production: A review. Journal of Environmental Management, 157, 20–48. https://doi.org/10.1016/j.jenvman.2015.04.006"
9,"Cai, J., Wang, G., Li, Y., Zhu, D., & Pan, G. (2009). Enrichment and hydrogen production by marine anaerobic hydrogen-producing microflora. Science Bulletin, 54(15), 2656–2661. https://doi.org/10.1007/s11434-009-0399-5"
10,"Cai, M., Liu, J., & Wei, Y. (2004). Enhanced biohydrogen production from sewage sludge with alkaline pretreatment. Environmental Science & Technology, 38(11), 3195–3202. https://doi.org/10.1021/es0349204"
11,"Cao, G., Ren, N., Wang, A., Guo, W., Xu, J., & Liu, B. (2014). Statistical optimization of culture conditions for hydrogen production by Thermoanaerobacterium thermosaccharolyticum W16. International Journal of Hydrogen Energy, 39(26), 14037–14043. https://doi.org/10.1016/j.ijhydene.2014.04.011"
12,"Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen production from coffee mucilage in dark fermentation with organic wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010071"
13,"Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2019). Dark fermentation of coffee mucilage: Effect of total solids, initial pH, and inoculum concentration. Energies, 12(7), 1319. https://doi.org/10.3390/en12071319"
14,"Chaganti, S. R., Kim, D., & Lalman, J. A. (2012). Dark fermentative hydrogen production by mixed anaerobic cultures: Effect of inoculum treatment methods on hydrogen yield. Renewable Energy, 48, 117–121. https://doi.org/10.1016/j.renene.2012.04.015"
15,"Chang, S., Li, J., & Liu, F. (2010). Evaluation of different pretreatment methods for preparing hydrogen-producing seed inocula from waste activated sludge. Renewable Energy, 36(5), 1517–1522. https://doi.org/10.1016/j.renene.2010.11.023"
16,"Chen, C., Chen, H., Wu, J., & Lin, C. (2007). Fermentative hydrogen production at high sulfate concentration. International Journal of Hydrogen Energy, 33(5), 1573–1578. https://doi.org/10.1016/j.ijhydene.2007.09.042"
17,"Chen, C., Chuang, Y., Lin, C., Lay, C., & Sen, B. (2012). Thermophilic dark fermentation of untreated rice straw using mixed cultures for hydrogen production. International Journal of Hydrogen Energy, 37(20), 15540–15546. https://doi.org/10.1016/j.ijhydene.2012.01.036"
18,"Chu, C., Xu, K., Li, Y., & Inamori, Y. (2012). Hydrogen and methane potential based on the nature of food waste materials in a two-stage thermophilic fermentation process. International Journal of Hydrogen Energy, 37(14), 10611–10618. https://doi.org/10.1016/j.ijhydene.2012.04.048"
19,"Collet, C. (2004). Hydrogen production by Clostridium thermolacticum during continuous fermentation of lactose. International Journal of Hydrogen Energy, 29(14), 1479–1485. https://doi.org/10.1016/j.ijhydene.2004.02.009"
20,"Derdiche, H., Zerdazi, R. Z., Achouri, O., Boutraa, M., Abdelaziz, O., & Sakhraoui, M. (2025). Chapter 8: Biological hydrogen production. In Hydrogen Production, Storage and Utilization (pp. 381–428). https://doi.org/10.1515/9783111623863-008"
21,"Di Perta, E. S., Cesaro, A., Pindozzi, S., Frunzo, L., Esposito, G., & Papirio, S. (2022). Assessment of hydrogen and volatile fatty acid production from fruit and vegetable waste: A case study of Mediterranean markets. Energies, 15(14), 5032. https://doi.org/10.3390/en15145032"
22,"Dounavis, A. S., Ntaikou, I., & Lyberatos, G. (2015). Production of biohydrogen from crude glycerol in an upflow column bioreactor. Bioresource Technology, 198, 701–708. https://doi.org/10.1016/j.biortech.2015.09.072"
23,"Ergal, I., Zech, E., Hanišáková, N., Kushkevych, I., Fuchs, W., Vítez, T., Vítezová, M., Bochmann, G., & Rittmann, S. K. R. (2022). Scale-up of dark fermentative biohydrogen production by artificial microbial co-cultures. Applied Microbiology, 2(1), 215–226. https://doi.org/10.3390/applmicrobiol2010015"
24,"Fan, Y., Zhang, Y., Zhang, S., Hou, H., & Ren, B. (2005). Efficient conversion of wheat straw wastes into biohydrogen gas by cow dung compost. Bioresource Technology, 97(3), 500–505. https://doi.org/10.1016/j.biortech.2005.02.049"
25,"Fang, H. H., & Liu, H. (2002). Effect of pH on hydrogen production from glucose by a mixed culture. Bioresource Technology, 82(1), 87–93. https://doi.org/10.1016/s0960-8524(01)00110-9"
26,"Fang, H., Li, C., & Zhang, T. (2005). Acidophilic biohydrogen production from rice slurry. International Journal of Hydrogen Energy, 31(6), 683–692. https://doi.org/10.1016/j.ijhydene.2005.07.005"
27,"Gavala, H. N., Skiadas, I. V., & Ahring, B. K. (2005). Biological hydrogen production in suspended and attached growth anaerobic reactor systems. International Journal of Hydrogen Energy, 31(9), 1164–1175. https://doi.org/10.1016/j.ijhydene.2005.09.009"
28,"Geng, A., He, Y., Qian, C., Yan, X., & Zhou, Z. (2010). Effect of key factors on hydrogen production from cellulose in a co-culture of Clostridium thermocellum and Clostridium thermopalmarium. Bioresource Technology, 101(11), 4029–4033. https://doi.org/10.1016/j.biortech.2010.01.042"
29,"Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.045"
30,"Gómez, X., Morán, A., Cuetos, M. J., & Sánchez, M. E. (2006). The production of hydrogen by dark fermentation as a function of organic substrate and initial pH conditions. Journal of Power Sources, 157(2), 727–732. https://doi.org/10.1016/j.jpowsour.2006.01.087"
