protocol,model,resample,r2,rmse,mae,n_test,n_test_studies
augmented,Random Forest,0,0.6959392511619806,0.08284074126415598,0.06427818814034165,90,
augmented,Random Forest,1,0.6415574444488509,0.09882869894827297,0.07640949185199643,90,
augmented,Random Forest,2,0.6720488724866172,0.08122341580706346,0.060404604663361935,90,
augmented,Random Forest,3,0.6475853723376355,0.0994791904517706,0.07001039866981103,90,
augmented,Random Forest,4,0.4012642037073718,0.10180518239836785,0.07119842715514466,90,
augmented,Random Forest,5,0.6946904290021587,0.08772059211074422,0.0629797898598981,90,
augmented,Random Forest,6,0.619007169311548,0.09823784405492349,0.07112661448833899,90,
augmented,Random Forest,7,0.6586419888382906,0.08223064770912145,0.05786834170340661,90,
augmented,Random Forest,8,0.6420404966810369,0.08655759683192309,0.06514816538040874,90,
augmented,Random Forest,9,0.49254404425412646,0.10940403878403053,0.07911144611479841,90,
augmented,Random Forest,10,0.6691235559552153,0.08103277048819252,0.05523627980322361,90,
augmented,Random Forest,11,0.5155050805006129,0.09624871150595073,0.06835859560525871,90,
augmented,Random Forest,12,0.7435600933571007,0.07380654952343664,0.05474860171936759,90,
augmented,Random Forest,13,0.5902852600906624,0.10450432628816046,0.07215149461276925,90,
augmented,Random Forest,14,0.7138984117623586,0.08364522377565602,0.06357830428440661,90,
augmented,Random Forest,15,0.6500201443834883,0.09332325098513068,0.06811946729937537,90,
augmented,Random Forest,16,0.510677565029867,0.09300750224899317,0.06584412931923826,90,
augmented,Random Forest,17,0.5812702022648959,0.10583956878680062,0.07390683449125918,90,
augmented,Random Forest,18,0.6577132402637718,0.07733146527509438,0.06055115658486546,90,
augmented,Random Forest,19,0.5751648339925527,0.09043017180315656,0.0697448755996861,90,
augmented,Random Forest,20,0.748722547934022,0.08829842395153333,0.06534996106415335,90,
augmented,Random Forest,21,0.5910783302213569,0.09230140080352968,0.06887633074710642,90,
augmented,Random Forest,22,0.7468646837749229,0.08533191995979551,0.06559260747740996,90,
augmented,Random Forest,23,0.7535199993886462,0.07750079254386275,0.058906575749111845,90,
augmented,Random Forest,24,0.6951210170075273,0.08416636093271565,0.06650594132880118,90,
augmented,Random Forest,25,0.7165403701615516,0.07048922515055644,0.05347682191647575,90,
augmented,Random Forest,26,0.567514835494209,0.09595135429999052,0.07137065188927308,90,
augmented,Random Forest,27,0.6980859753777937,0.0834493665069457,0.05999074155422105,90,
augmented,Random Forest,28,0.6849376626864252,0.09291076581637689,0.0676177473994378,90,
augmented,Random Forest,29,0.5943696651423523,0.08849727941887325,0.0599301744979526,90,
augmented,Random Forest,30,0.7019425762067832,0.07284216715027134,0.0528591036777984,90,
augmented,Random Forest,31,0.5165259327153997,0.08545868729023039,0.06408683567514387,90,
augmented,Random Forest,32,0.4723961403268274,0.1015838300145839,0.06867974660789337,90,
augmented,Random Forest,33,0.6796776792442643,0.08079367304775063,0.06142849511684958,90,
augmented,Random Forest,34,0.573728229212862,0.0952919055957275,0.0687593284076629,90,
augmented,Random Forest,35,0.7392802845270255,0.0818204426481093,0.058366254044968834,90,
augmented,Random Forest,36,0.6609857533482079,0.08209530049019896,0.06109114650949848,90,
augmented,Random Forest,37,0.5856306542589946,0.0895923480436538,0.06556882534676971,90,
augmented,Random Forest,38,0.6547200883498137,0.07665259772660396,0.058166740228534505,90,
augmented,Random Forest,39,0.5968199481493212,0.08539647488683612,0.06019131813167918,90,
augmented,CatBoost,0,0.5773301342365094,0.09767073117679612,0.07195432036852584,90,
augmented,CatBoost,1,0.625222563082942,0.10105551366092856,0.07783076805814011,90,
augmented,CatBoost,2,0.6260481233671324,0.08673303504146776,0.063373888499028,90,
augmented,CatBoost,3,0.6317292132629897,0.10169249762912519,0.06892732653924165,90,
augmented,CatBoost,4,0.45145319881674817,0.09744490080352895,0.06976808878890577,90,
augmented,CatBoost,5,0.7174769784343367,0.08438364210831574,0.06223169564726251,90,
augmented,CatBoost,6,0.6263759204887295,0.09728320054336119,0.07022725789515988,90,
augmented,CatBoost,7,0.6365578191736528,0.08484892145484178,0.058572324974159894,90,
augmented,CatBoost,8,0.7244104969604244,0.07594856589697689,0.05932631468864714,90,
augmented,CatBoost,9,0.47471018081287,0.11130986849605876,0.08168979360642378,90,
augmented,CatBoost,10,0.67255173732176,0.0806118908166341,0.056366598586669585,90,
augmented,CatBoost,11,0.5453872529363828,0.09323331259678043,0.06742797344380105,90,
augmented,CatBoost,12,0.7221819018863307,0.0768214259648533,0.05869575599975791,90,
augmented,CatBoost,13,0.6816334157106675,0.09212069686086663,0.06528258622205221,90,
augmented,CatBoost,14,0.6888241628544192,0.08723363028508065,0.06688349035818017,90,
augmented,CatBoost,15,0.6348124789014088,0.09532927714614445,0.06910596853389935,90,
augmented,CatBoost,16,0.5759236477134269,0.08658495690007402,0.06176010697670529,90,
augmented,CatBoost,17,0.5727201579940067,0.1069146775031366,0.07476416526252612,90,
augmented,CatBoost,18,0.5959717187049373,0.08401698106017956,0.06481321570897085,90,
augmented,CatBoost,19,0.5501576674041049,0.09305362322232676,0.07159005651350832,90,
augmented,CatBoost,20,0.7211413252091761,0.0930182729081507,0.06574799660547975,90,
augmented,CatBoost,21,0.6094209559150436,0.09020751068409254,0.06617837963728956,90,
augmented,CatBoost,22,0.7423123314489752,0.08609579991237278,0.06703606215760124,90,
augmented,CatBoost,23,0.7613774562461324,0.07625547594842763,0.05793806977086453,90,
augmented,CatBoost,24,0.6985974473155836,0.08368512510786907,0.06577104925134049,90,
augmented,CatBoost,25,0.730556599048147,0.06872439172073778,0.05147946319903221,90,
augmented,CatBoost,26,0.5879310780995939,0.09365919752199073,0.06684125522892327,90,
augmented,CatBoost,27,0.6559253498609119,0.0890856470799443,0.06139792611230254,90,
augmented,CatBoost,28,0.7205008658784029,0.08751006932636227,0.06335590555758455,90,
augmented,CatBoost,29,0.5900634905623647,0.08896578317210171,0.06186476188502288,90,
augmented,CatBoost,30,0.6850172846775783,0.07488179523167039,0.05605136114702202,90,
augmented,CatBoost,31,0.5471138601429562,0.08271116542083995,0.062110755631200956,90,
augmented,CatBoost,32,0.4838652911071847,0.10047363939167268,0.06766036172821292,90,
augmented,CatBoost,33,0.6561559457999899,0.08370752684158772,0.06254455566695898,90,
augmented,CatBoost,34,0.5550921989632243,0.09735264055530797,0.07178993116956979,90,
augmented,CatBoost,35,0.7582311110435181,0.07879072474629709,0.05736494629133549,90,
augmented,CatBoost,36,0.6565359110138993,0.0826323283552652,0.06051638975811131,90,
augmented,CatBoost,37,0.5475241282603379,0.09362133326814118,0.06934482242374404,90,
augmented,CatBoost,38,0.6787091832620714,0.07394186116447453,0.056928667321028824,90,
augmented,CatBoost,39,0.5902498114882877,0.08608946451904483,0.05998295506729727,90,
rowwise,Random Forest,0,0.2110237561306456,0.1503720653463347,0.10484520638445033,45,
rowwise,Random Forest,1,0.39387917508284165,0.10767823311588412,0.07931266054822181,45,
rowwise,Random Forest,2,0.3720713829936515,0.10840894235530546,0.0815182107998646,45,
rowwise,Random Forest,3,0.5189364806040566,0.1015709050883034,0.07124167680827236,45,
rowwise,Random Forest,4,0.5070411125484457,0.09932444360325524,0.07020657113493455,45,
rowwise,Random Forest,5,0.32417302294858663,0.1155207075011851,0.08321962017727948,45,
rowwise,Random Forest,6,0.22456693174507159,0.10829022535480619,0.07927417301060977,45,
rowwise,Random Forest,7,0.4551404185036504,0.09434624340237849,0.06417240844148575,45,
rowwise,Random Forest,8,0.432706087090058,0.1325560544866144,0.08955161929703165,45,
rowwise,Random Forest,9,0.26359888824833877,0.10926206651608002,0.0778517498137807,45,
rowwise,Random Forest,10,0.5579983422512818,0.09936288870261313,0.0785852666585981,45,
rowwise,Random Forest,11,0.3639828666878204,0.10000482494412756,0.07179222091176907,45,
rowwise,Random Forest,12,0.11314109905256886,0.1318727121775668,0.0939426626609813,45,
rowwise,Random Forest,13,0.4100545911202895,0.11276163215655184,0.08084204242697213,45,
rowwise,Random Forest,14,0.5661427064197395,0.10949745405691218,0.08902801382623861,45,
rowwise,Random Forest,15,0.6155792401362352,0.07728686729568561,0.057164621031818165,45,
rowwise,Random Forest,16,0.49498164938920486,0.11621744838960034,0.07621639270822048,45,
rowwise,Random Forest,17,0.5932146313310078,0.08794263514582876,0.06266164152072316,45,
rowwise,Random Forest,18,0.6030850928798442,0.08663008257196679,0.062020721887667954,45,
rowwise,Random Forest,19,0.5534006585017517,0.089863348941323,0.06727103983873187,45,
rowwise,Random Forest,20,-0.002990076062139746,0.12801655151136015,0.09017294681632862,45,
rowwise,Random Forest,21,0.6043055200436418,0.10781718154306959,0.07936793715122259,45,
rowwise,Random Forest,22,0.5254992791114383,0.10946981014589328,0.08426334234742257,45,
rowwise,Random Forest,23,0.42813428030957523,0.11411500868180822,0.0865177469518945,45,
rowwise,Random Forest,24,0.40750688373382504,0.1082420539863658,0.08529656799887947,45,
rowwise,Random Forest,25,0.3524922636931562,0.11322706739379904,0.08213301594144128,45,
rowwise,Random Forest,26,0.4323332814708253,0.12092849906916601,0.08867984791141613,45,
rowwise,Random Forest,27,0.5085091385090952,0.12201586881870005,0.08386094947592561,45,
rowwise,Random Forest,28,0.41163219608912505,0.09393603720446461,0.06554485010749961,45,
rowwise,Random Forest,29,0.39722142870987964,0.12264068195878648,0.08776391953010665,45,
rowwise,Random Forest,30,0.4428683411223957,0.13039125023767564,0.08344461012340774,45,
rowwise,Random Forest,31,0.5606821189080013,0.08613229370316464,0.06238898723076388,45,
rowwise,Random Forest,32,0.5387186870553458,0.11801072748198818,0.08989867326887119,45,
rowwise,Random Forest,33,0.48894148278013094,0.10586223775472839,0.08269755105574057,45,
rowwise,Random Forest,34,0.4621717173882097,0.0947835574492899,0.06816524938821608,45,
rowwise,Random Forest,35,0.15733199351316907,0.13423117182714606,0.08875256250311081,45,
rowwise,Random Forest,36,0.46103206253274853,0.12443560370468008,0.08502390198389254,45,
rowwise,Random Forest,37,0.42762602876711386,0.10314970616347406,0.0733417392091643,45,
rowwise,Random Forest,38,0.3733037836251596,0.1299757962882124,0.09609985513679686,45,
rowwise,Random Forest,39,0.5627882597593465,0.08447466568276152,0.06142790339569545,45,
rowwise,CatBoost,0,0.3140049206389931,0.14021539560431026,0.10154376454885874,45,
rowwise,CatBoost,1,0.39109071215498614,0.10792563611510231,0.07859548688432197,45,
rowwise,CatBoost,2,0.4191122100165665,0.10426921247924298,0.07751704646329516,45,
rowwise,CatBoost,3,0.4211435374742688,0.11141753693590462,0.07990525334464606,45,
rowwise,CatBoost,4,0.5045693085404008,0.0995731495017273,0.06925001393967821,45,
rowwise,CatBoost,5,0.2675758881062773,0.12026060790680738,0.08987208681670218,45,
rowwise,CatBoost,6,0.23391452970929894,0.10763554434075819,0.07886214597314432,45,
rowwise,CatBoost,7,0.41682624165615745,0.09760707601059024,0.06676327777022407,45,
rowwise,CatBoost,8,0.5120562748101658,0.12293636730305776,0.08989049709221829,45,
rowwise,CatBoost,9,0.310339105483029,0.10573773253330562,0.07693230321239283,45,
rowwise,CatBoost,10,0.5003114186840243,0.10564816846567132,0.08400455541602406,45,
rowwise,CatBoost,11,0.30834685997529043,0.10428713171673419,0.07574577068010441,45,
rowwise,CatBoost,12,0.10585650735764096,0.1324132007882549,0.09807383978830517,45,
rowwise,CatBoost,13,0.47294669396180566,0.10658171679721926,0.07707153166839728,45,
rowwise,CatBoost,14,0.5632610341828227,0.10986049227840251,0.09009068500794623,45,
rowwise,CatBoost,15,0.5331159297076775,0.08517395540747365,0.06351738730115399,45,
rowwise,CatBoost,16,0.4805804933692154,0.1178628352823817,0.08023192509507598,45,
rowwise,CatBoost,17,0.628469177194821,0.08404545596113236,0.06341862273944657,45,
rowwise,CatBoost,18,0.4980570325503493,0.09741979473500478,0.07160249383917719,45,
rowwise,CatBoost,19,0.5253928399662715,0.09263832696128017,0.06883158338960332,45,
rowwise,CatBoost,20,-0.03414198224908671,0.12998938548776945,0.0948205161013197,45,
rowwise,CatBoost,21,0.5577374431121203,0.11398509487013832,0.08548031587025805,45,
rowwise,CatBoost,22,0.5178486106906296,0.11034880587330985,0.08988832835425879,45,
rowwise,CatBoost,23,0.4446684360536115,0.11245322505086057,0.0858793614438106,45,
rowwise,CatBoost,24,0.34871469637229957,0.11348540437125748,0.08545470280725297,45,
rowwise,CatBoost,25,0.3321499621672698,0.1149919015686897,0.07959176550992758,45,
rowwise,CatBoost,26,0.4735760963486133,0.11645274947179421,0.08746104033679249,45,
rowwise,CatBoost,27,0.6341759117422983,0.10526760508014178,0.07703767461348751,45,
rowwise,CatBoost,28,0.3654809268138829,0.09755064062831047,0.06965155335343876,45,
rowwise,CatBoost,29,0.43902202178649885,0.11831193595840868,0.08420113689023236,45,
rowwise,CatBoost,30,0.533136133780868,0.11936160823764011,0.08139671088774172,45,
rowwise,CatBoost,31,0.4616645271786344,0.09534613028591013,0.07290535743921917,45,
rowwise,CatBoost,32,0.47890372186978436,0.12542887951910037,0.09500187197189934,45,
