train_studies,repeat,n_train,n_test,r2
10,1,35,62,-0.123586791325341
10,2,38,51,-0.24842097053778356
10,4,21,80,-0.0033917996052246213
10,5,22,50,0.0074275907074699
10,7,23,22,0.36207190128968036
10,8,35,22,-1.2011004608758733
10,9,29,76,-0.21555456114557803
10,10,41,28,-1.1209753350278127
10,11,39,26,-0.11623396706585987
10,12,20,56,0.11018950715575382
10,13,30,46,0.011818819663252378
10,14,52,44,-0.14628902908136787
20,0,48,43,-0.6587777854249712
20,1,27,49,-0.3758016508330475
20,2,57,43,-0.7542706726389199
20,3,50,37,-0.046661089933571986
20,4,56,51,-0.20134089618358364
20,5,43,67,-1.0878922619756017
20,6,49,54,-0.47435293556559044
20,7,52,46,-0.4405751885341562
20,8,42,42,-3.375172911994592
20,9,57,69,0.001350425756108331
20,10,54,43,-0.5856028954342558
20,11,44,39,-0.8735421170730622
20,12,61,26,-2.0115753349296406
20,13,68,46,-0.09664813408348283
20,14,77,27,-0.8495794109620343
30,0,93,40,-0.9477057224539478
30,1,92,35,-0.1775852618816749
30,2,78,31,-0.09209757191400292
30,3,72,68,0.030047769277112946
30,4,61,46,-1.0500317523955984
30,5,93,34,-0.20731652062210815
30,6,67,39,-0.6693093449736323
30,7,101,40,0.09563021266806426
30,8,49,31,0.022988110700917108
30,9,97,35,-0.08161261783665297
30,10,94,49,-0.5559467198186094
30,11,86,65,-0.6085182238807088
30,12,100,38,0.17622970319278297
30,13,94,52,-0.3312526248698713
30,14,105,34,-0.5147593071447756
40,0,103,49,0.10425854321177574
40,1,113,40,-0.49755399376059417
40,2,92,56,0.27952528319100056
40,3,97,61,-0.5989026711532286
40,4,83,27,-0.0984401582948915
40,5,101,59,-0.8170287713853472
40,6,87,62,0.13077013366237322
40,7,111,63,-0.6992993309485405
40,8,118,49,0.03392232539513795
40,9,93,37,-0.48466727909849117
40,10,113,28,-0.6701444572752255
40,11,104,35,-0.4118351625360066
40,12,110,33,-0.09887928083959907
40,13,132,38,-0.6154595543125252
40,14,132,39,-0.3098859811769106
50,0,147,49,-0.3325095717478179
50,1,87,89,-0.08267642543253473
50,2,167,28,0.08179729949348191
50,3,147,43,0.07903794324397295
50,4,106,70,-0.43977871345387176
50,5,125,70,0.01320648728375795
50,6,155,37,-0.5262188576704698
50,7,133,38,0.09104268145699057
50,8,169,31,-0.2712521118817033
50,9,140,39,-0.5385069146577892
50,10,117,64,0.1282103590089002
50,11,130,56,-0.3427878027056981
50,12,132,69,0.3310878435612329
50,13,120,37,-0.16620532818038747
50,14,139,47,-0.035503234387199045
60,0,192,21,-0.0068723888957640256
60,1,168,36,-0.36142616147488726
60,2,152,36,-0.41605596073642737
60,3,154,38,-0.03615723980225294
60,4,172,30,0.1637985512627903
60,5,179,30,-0.533658756855498
60,6,156,47,0.07594396931190084
60,7,170,46,-0.30531004360185054
60,8,151,41,-0.8871490478368147
60,9,158,35,0.2466960680283904
60,10,181,35,-0.37140107114771737
60,11,170,33,-0.23358001098905956
60,12,172,39,0.10823340702295114
60,13,159,43,-0.6051186621151292
60,14,174,39,-2.058366121464589
65,0,188,33,-1.0408847746074228
65,1,188,35,-0.590394336502414
65,2,176,37,-0.8378322604126196
65,3,191,32,-2.1527890905819613
65,4,161,52,-2.161790800897002
65,5,186,27,-0.6095227838354731
65,6,192,31,-0.49994679781500717
65,7,156,67,0.06581788485150786
65,8,193,28,-0.47948206632993684
65,9,184,39,-0.11522917178026315
65,10,185,37,-0.4446669375471264
65,11,170,43,-0.9567977049588647
65,12,193,30,-0.6947094360294446
65,13,171,52,-0.4702945084834287
65,14,181,42,-0.9600103865438783
