term,coef,se,p,ci_lo,ci_hi
Intercept,0.03950323693041896,0.05997512847898774,0.5101139230409184,-0.07804801488839701,0.15705448874923494
substrate: Algal biomass,0.02443227374171733,0.05877345312280074,0.6776276824572847,-0.09076369437897211,0.13962824186240677
substrate: Coffee mucilage,-0.09412341740054157,0.08388918749479327,0.26186371191451685,-0.25854622489033635,0.07029939008925322
substrate: Glycerol/biodiesel,0.044635278760048906,0.08142587307320338,0.583574690907211,-0.11495943246342971,0.20422998998352754
substrate: Industrial wastewater,-0.00654739996756405,0.035368038910881874,0.8531333936016892,-0.07586875623289252,0.06277395629776442
substrate: Lignocellulosic,-0.020813647964043825,0.030568655416724665,0.49594614348947685,-0.08072821258082417,0.03910091665273652
substrate: Manure/slurry,-0.026686315224414975,0.05844446516998745,0.6479515380332832,-0.14123746695759037,0.08786483650876042
substrate: Mixed organic waste,0.1723090753174958,0.11795056214539912,0.1440542914670919,-0.058874026487486464,0.4034921771224781
substrate: Municipal solid waste,-0.009748708881020335,0.04604520085257338,0.8323251628484246,-0.09999730255206415,0.08049988479002348
substrate: Other,-0.05794586882313025,0.11007054259090034,0.5985804321657278,-0.2736841323012949,0.15779239465503442
substrate: Sewage sludge,-0.06115424832504844,0.1266192775209931,0.6291117894741285,-0.30932803226619493,0.18701953561609808
substrate: Simple sugars/starch,0.04398985540775628,0.026932523475627215,0.1023983864115778,-0.008797890604473058,0.09677760141998562
mode: Continuous,0.03190997942244148,0.023068977790744617,0.16659066959441493,-0.013305217047417967,0.07712517589230093
mode: Semi-continuous,-0.012632604105731231,0.044697899766803016,0.7774667121900725,-0.10024048764866514,0.07497527943720267
mode: Unspecified,-0.012342252985230751,0.03365862155043376,0.713850863943448,-0.07831315122408093,0.05362864525361943
Tn,0.0018386418876111595,0.0006963305658099496,0.00827904490194382,0.00047383397862365835,0.003203449796598661
pHn,-0.00030977256167575353,0.008373367033884537,0.9704890068845322,-0.01672157194808945,0.01610202682473794
Group Var,1.174205700771934,0.37995956373694556,0.0019992489779913337,0.42948495584752067,1.9189264456963473
