solids_gVS_L,temperature_C,yield_dm3_g,h2_energy_MJ_m3,heat_duty_MJ_m3,net_MJ_m3
10,37,0.15,16.182,21.318000000000005,-5.136000000000006
10,55,0.25,26.969999999999995,43.89000000000001,-16.920000000000012
10,70,0.2,21.575999999999997,62.70000000000001,-41.12400000000001
20,37,0.15,32.364,21.318000000000005,11.045999999999992
20,55,0.25,53.93999999999999,43.89000000000001,10.049999999999983
20,70,0.2,43.151999999999994,62.70000000000001,-19.548000000000016
50,37,0.15,80.90999999999998,21.318000000000005,59.59199999999998
50,55,0.25,134.85,43.89000000000001,90.95999999999998
50,70,0.2,107.87999999999998,62.70000000000001,45.17999999999997
100,37,0.15,161.81999999999996,21.318000000000005,140.50199999999995
100,55,0.25,269.7,43.89000000000001,225.80999999999997
100,70,0.2,215.75999999999996,62.70000000000001,153.05999999999995
