subset,n,studies,icc,protocol,median_r2,ci_lo,ci_hi,gap_rowwise_minus_grouped
B0  all records,224,82,0.7081811430204844,augmented,0.6520665094428437,0.47150188780834257,0.7490484324428475,0.6125190013269508
B0  all records,224,82,0.7081811430204844,rowwise,0.43854135172082614,0.10884989628802758,0.605106454862445,
B0  all records,224,82,0.7081811430204844,grouped,-0.17397764960612472,-0.9532648284236933,0.3549974984684987,
B0  all records,224,82,0.7081811430204844,grouped_mean_baseline,-0.18017410055186356,-1.0818004221862274,-3.299320032864598e-05,
B1  drop COD / TS / unstated,212,80,0.6992605817175197,augmented,0.6477655256063313,0.472405509757054,0.7725653739466999,0.4180580668982604
B1  drop COD / TS / unstated,212,80,0.6992605817175197,rowwise,0.3992093730101798,0.06187977254728357,0.6436358989829009,
B1  drop COD / TS / unstated,212,80,0.6992605817175197,grouped,-0.018848693888080637,-1.196051708153384,0.2977886815806728,
B1  drop COD / TS / unstated,212,80,0.6992605817175197,grouped_mean_baseline,-0.10041365990156803,-1.5430421022760306,-0.007567177584455587,
B2  VS + defined substrates,196,73,0.6974808694104608,augmented,0.6718217589852035,0.4602071234463256,0.7769039267395694,0.5990975361039613
B2  VS + defined substrates,196,73,0.6974808694104608,rowwise,0.4526733395823256,-0.09114347416928006,0.66159061138583,
B2  VS + defined substrates,196,73,0.6974808694104608,grouped,-0.14642419652163574,-0.9823809953587618,0.29405888827316845,
B2  VS + defined substrates,196,73,0.6974808694104608,grouped_mean_baseline,-0.07705013874027,-1.381528787512366,-0.0014965566151160202,
B3  VS-reported only,101,38,0.7929063555637758,augmented,0.47603943986412167,0.16093971404263674,0.7647944125567404,1.378105931176074
B3  VS-reported only,101,38,0.7929063555637758,rowwise,0.26463945250290677,-2.2843714728943767,0.6620485233712925,
B3  VS-reported only,101,38,0.7929063555637758,grouped,-1.1134664786731672,-6.1934377364344675,-0.21824620655248503,
B3  VS-reported only,101,38,0.7929063555637758,grouped_mean_baseline,-0.3350039978146109,-2.451752283177935,-0.0023329452012766675,
