resample,study,n,study_mean,dist_from_train_mean,mae
0,"Lee et al., 2014",3,0.08276666666666667,0.07399571301247769,0.05347769583333294
0,"Ghimire et al., 2015",4,0.0995,0.057262379679144354,0.06948806202268203
0,"Fan et al., 2005",3,0.071,0.08576237967914437,0.033040116091269923
0,"Veeravalli et al., 2014",1,0.3185,0.16173762032085565,0.24150440999999997
0,"Jain et al., 2022",1,0.3732,0.21643762032085562,0.18357961666666583
0,"Massanet-Nicolau et al., 2009",1,0.027,0.12976237967914436,0.028901602765567778
0,"Albuquerque et al., 2024",11,0.11996454545454545,0.03679783422459891,0.05994673078048336
0,"Chen et al., 2007",1,0.1539,0.00286237967914435,0.003059446428571838
0,"Cai et al., 2004b",1,0.31,0.15323762032085564,0.2039653048809521
0,"Lee et al., 2009",1,0.148,0.008762379679144366,0.1431096000000008
0,"Yang et al., 2006",1,0.1045,0.05226237967914436,0.06486979791666662
0,"Panagiotopoulos et al., 2010",4,0.307925,0.15116262032085565,0.052875000000000005
0,"Nam et al., 2015",1,0.062,0.09476237967914436,0.03354511023809542
0,"Zhi & Wang, 2014",1,0.00098,0.15578237967914435,0.051873104880050515
0,"Kumar & Das, 2000b",1,0.2737,0.11693762032085564,0.061293138333332775
0,"Zahedi et al., 2012",1,0.052,0.10476237967914437,0.17813320083333303
0,"Han et al., 2014",1,0.2167,0.059937620320855645,0.0058629583333331126
1,"Kumar & Das, 2000b",1,0.2737,0.1257518693181818,0.021127207261903758
1,"Liu et al., 2015",2,0.061,0.0869481306818182,0.07212650089285741
1,"Slezak et al., 2017",1,0.076,0.0719481306818182,0.010912227803030083
1,"Kargi et al., 2012",2,0.111,0.036948130681818195,0.01583213506673889
1,"Ghimire et al., 2015",4,0.0995,0.04844813068181819,0.05170700833333338
1,"Liu et al., 2009",1,0.0249,0.12304813068181819,0.10905231247023775
1,"Li et al., 2020",1,0.007,0.1409481306818182,0.1586285796825398
1,"Łukajtis et al., 2018",7,0.18394714285714286,0.03599901217532467,0.13412770391446846
1,"Pendyala et al., 2012",1,0.056,0.0919481306818182,0.04233468397435839
1,"Kargi & Pamukoglu, 2009",1,0.3857,0.2377518693181818,0.15915768749999942
1,"Zagklis et al., 2021",2,0.1431,0.004848130681818191,0.05766351342757932
1,"Morimoto et al., 2003",1,0.2613,0.11335186931818178,0.12531271416666734
1,"Trad et al., 2015",3,0.11396666666666666,0.033981464015151536,0.050639477185846764
1,"Shen et al., 2010",1,0.19276,0.04481186931818179,0.055269278611110945
1,"Cao et al., 2014",4,0.0486735,0.09927463068181819,0.07398247715435612
1,"Zahedi et al., 2012",1,0.052,0.0959481306818182,0.18368267787698375
1,"Okonkwo, 2019",15,0.30300000000000005,0.15505186931818185,0.11441418333725065
