model,protocol,augmented,seed,r2,rmse,mae,n_test,n_test_studies,ladder
RandomForest,row_wise,1,0,0.739066025590452,0.060109511069755775,0.04340732615156753,79,44,noise_augmented_random
RandomForest,row_wise,1,1,0.5935819965975118,0.074039900097476,0.04878817128715587,79,38,noise_augmented_random
RandomForest,row_wise,1,2,0.5702209885195221,0.09693085149950022,0.06293434904667837,79,44,noise_augmented_random
RandomForest,row_wise,1,3,0.6997276876064024,0.07903543532606638,0.056284675422797324,79,42,noise_augmented_random
RandomForest,row_wise,1,4,0.39019772646551465,0.08867417854463135,0.060486060277613884,79,40,noise_augmented_random
RandomForest,row_wise,1,5,0.5850555351615647,0.08919689676552277,0.06113464329912979,79,51,noise_augmented_random
RandomForest,row_wise,1,6,0.7796990365287769,0.06457414860346467,0.04837301568216454,79,42,noise_augmented_random
RandomForest,row_wise,1,7,0.7124917151483242,0.07110273981682783,0.0494926160771027,79,41,noise_augmented_random
RandomForest,row_wise,1,8,0.6383906617558606,0.08369945860129432,0.05472888302410281,79,39,noise_augmented_random
RandomForest,row_wise,1,9,0.7647543960187737,0.05671599487633467,0.041593282529994946,79,37,noise_augmented_random
RandomForest,row_wise,1,10,0.661053326787816,0.07652127684127352,0.0538450425152274,79,44,noise_augmented_random
RandomForest,row_wise,1,11,0.6045314103704693,0.08723942823019976,0.06027427817704063,79,43,noise_augmented_random
RandomForest,row_wise,1,12,0.6045033200768226,0.08313538235257333,0.05784679886840107,79,37,noise_augmented_random
RandomForest,row_wise,1,13,0.7173218361851303,0.060279811649746974,0.04544956256151343,79,46,noise_augmented_random
RandomForest,row_wise,1,14,0.7253205129971254,0.06085498288576713,0.045519219297584526,79,43,noise_augmented_random
RandomForest,row_wise,1,15,0.6663170564765024,0.07847058403120726,0.05510779337577631,79,39,noise_augmented_random
RandomForest,row_wise,1,16,0.760669256718413,0.0699212932631049,0.050566703599812066,79,41,noise_augmented_random
RandomForest,row_wise,1,17,0.6491049188096283,0.08435342495232864,0.057228699548376255,79,36,noise_augmented_random
RandomForest,row_wise,1,18,0.5490403819409817,0.0929197721925109,0.06281946797587043,79,39,noise_augmented_random
RandomForest,row_wise,1,19,0.8030874779786427,0.0531013793777696,0.03808128124632089,79,40,noise_augmented_random
RandomForest,row_wise,1,20,0.6572376140668964,0.06086735246072546,0.04360462427269218,79,41,noise_augmented_random
RandomForest,row_wise,1,21,0.7079985636379059,0.0802227747555514,0.053921978277349895,79,42,noise_augmented_random
RandomForest,row_wise,1,22,0.5807453520318268,0.09266612172415506,0.05757129582001301,79,43,noise_augmented_random
RandomForest,row_wise,1,23,0.6625013717751976,0.0777125647181058,0.04850573015031823,79,41,noise_augmented_random
RandomForest,row_wise,1,24,0.5478012838817348,0.0734471859039233,0.05453767297710616,79,46,noise_augmented_random
RandomForest,row_wise,1,25,0.6369901151126478,0.0783181727242723,0.053297311509356876,79,34,noise_augmented_random
RandomForest,row_wise,1,26,0.7580670610380188,0.07475773526208229,0.053688236150630585,79,47,noise_augmented_random
RandomForest,row_wise,1,27,0.6776292604954883,0.06869801407808643,0.04895455375225681,79,46,noise_augmented_random
RandomForest,row_wise,1,28,0.7459601671282851,0.07732054478413561,0.05338547493505905,79,42,noise_augmented_random
RandomForest,row_wise,1,29,0.5324095074281782,0.09996083314490711,0.0601093330004411,79,47,noise_augmented_random
RandomForest,row_wise,1,30,0.5724784904842892,0.08103110825702713,0.05507807132913391,79,42,noise_augmented_random
RandomForest,row_wise,1,31,0.5520067742262007,0.07948908447866146,0.05643638332318195,79,45,noise_augmented_random
RandomForest,row_wise,1,32,0.6108660939142528,0.0812584568134149,0.05363122111046632,79,41,noise_augmented_random
RandomForest,row_wise,1,33,0.7176904476867301,0.08118343625486989,0.054531993728376645,79,43,noise_augmented_random
RandomForest,row_wise,1,34,0.7774330121272333,0.06221582064272581,0.04692285215139748,79,47,noise_augmented_random
RandomForest,row_wise,1,35,0.6431145622827487,0.07953763178573796,0.052939109593425134,79,44,noise_augmented_random
