subset,term,coefficient,std_error,ci_lo,ci_hi,p_value
mixed basis,Intercept,0.07002498991919008,0.05795009415804203,-0.04355510753127728,0.18360508736965744,0.2269060710166354
mixed basis,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.algal biomass]",0.02641586802307233,0.05043440193048396,-0.0724337433424936,0.12526547938863825,0.600440710223908
mixed basis,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.coffee mucilage]",-0.06680313670000733,0.05919108106155218,-0.18281552378664045,0.04920925038662581,0.25906602165999804
mixed basis,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.glycerol / biodiesel waste]",0.04369593220334199,0.07695904259380845,-0.10714101956520657,0.19453288397189056,0.5701832411971629
mixed basis,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.industrial wastewater]",0.003670528184420228,0.03506326993817607,-0.06505221807461085,0.0723932744434513,0.9166273541911054
mixed basis,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.lignocellulosic biomass]",-0.0005375656213274992,0.027207454716594845,-0.05386319697685782,0.05278806573420282,0.9842364010472815
mixed basis,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.manure / slurry]",0.07615124584898895,0.04085285525146531,-0.003918879109511067,0.156221370807489,0.06231646696482844
mixed basis,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.mixed organic waste]",0.025596940466703313,0.036939386300207745,-0.04680292629271614,0.09799680722612276,0.48834445147568617
mixed basis,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.municipal solid waste]",-0.13980655111358534,0.1077929587888216,-0.3510768681266859,0.07146376589951528,0.1946341120748244
mixed basis,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.other]",-0.07254220731006901,0.03240755469063702,-0.13605984733072968,-0.009024567289408356,0.025192696476366787
mixed basis,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.sewage sludge]",0.01834241682381186,0.039420520907711434,-0.05892038440711075,0.09560521805473446,0.6417157548432986
mixed basis,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.simple sugars and starches]",0.053866635358785844,0.02732725096181839,0.0003062076771342473,0.10742706304043745,0.048704525856198326
mixed basis,"C(mode, Treatment(reference='batch'))[T.continuous]",0.047726388948265634,0.02494756691698499,-0.0011699437109278996,0.09662272160745916,0.055739363104397324
mixed basis,"C(mode, Treatment(reference='batch'))[T.semi-continuous]",0.07211539068222114,0.03362198065732937,0.0062175195049532506,0.13801326185948903,0.03196178427877502
mixed basis,"C(mode, Treatment(reference='batch'))[T.unspecified]",-0.022732951027409104,0.03111309649071937,-0.08371349959673861,0.038247597541920406,0.4649896823877927
mixed basis,temperature_C,0.0013171437022572129,0.0007302397780214136,-0.00011409996274328147,0.0027483873672577075,0.07127615554312032
mixed basis,pH,-0.004225196280079728,0.007398166681618295,-0.01872533652767579,0.010274943967516336,0.5679223953286325
mixed basis,Group Var,1.557993899370239,0.5185090227468402,0.5417348891273726,2.5742529096131053,0.0026579262731188614
mixed basis,study random-effect variance,0.006227190094980014,,,,
native volatile solids,Intercept,0.07967487617241974,0.0942737834193849,-0.10509834401590397,0.26444809636074346,0.39803071814590063
native volatile solids,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.algal biomass]",0.02202557502389617,0.05302400572660628,-0.08189956651629772,0.12595071656409007,0.6778573469088303
native volatile solids,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.coffee mucilage]",-0.04934615315195681,0.0845778189941525,-0.2151156322714434,0.11642332596752977,0.5595965765473909
native volatile solids,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.industrial wastewater]",-0.00868210259672691,0.0483751805149666,-0.10349571415168524,0.0861315089582314,0.8575652801091841
native volatile solids,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.lignocellulosic biomass]",-0.04124504775073331,0.0394179984080589,-0.11850290497318594,0.03601280947171933,0.2953991744123776
native volatile solids,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.manure / slurry]",0.06915388566174019,0.04426406144826982,-0.017602080586336513,0.15590985190981688,0.1182165741905617
native volatile solids,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.mixed organic waste]",0.012558993355899271,0.03996322220986038,-0.06576748288159825,0.0908854695933968,0.7533207034494951
native volatile solids,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.municipal solid waste]",-0.1978337227997991,0.11689506418025923,-0.4269438385636053,0.03127639296400711,0.09056889099408595
native volatile solids,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.other]",-0.10247253607316313,0.04310631810459522,-0.18695936706429667,-0.01798570508202961,0.01744441090553663
native volatile solids,"C(substrate_class, Treatment(reference='food and kitchen waste'))[T.sewage sludge]",0.0271361352392446,0.041903244790093566,-0.054992715384704446,0.10926498586319365,0.5172499669487737
native volatile solids,"C(mode, Treatment(reference='batch'))[T.continuous]",-0.006098820833464697,0.04475137083500378,-0.09380989592886826,0.08161225426193888,0.8915980966657775
native volatile solids,"C(mode, Treatment(reference='batch'))[T.semi-continuous]",0.12382296626540502,0.04643272592938973,0.03281649573978204,0.214829436791028,0.007659600925216936
native volatile solids,"C(mode, Treatment(reference='batch'))[T.unspecified]",-0.0217563874592438,0.03392590936632246,-0.08824994796000592,0.04473717304151832,0.521333499245519
native volatile solids,temperature_C,0.0014997011958060007,0.0011933538865344824,-0.000839229442612483,0.0038386318342244845,0.20885823071914977
native volatile solids,pH,-0.006570977384532886,0.010718135767767803,-0.02757813747076834,0.014436182701702566,0.5398294455849579
native volatile solids,Group Var,1.6915879911891831,0.7287933627869558,0.263179247954916,3.1199967344234505,0.020282504914863733
native volatile solids,study random-effect variance,0.007116641821656594,,,,
