substrate_class,rows,studies,pooled_yield,ci_lo,ci_hi,note
food and kitchen waste,59,18,0.10912704770181723,0.05731454278104419,0.16347856590344803,
simple sugars and starches,41,30,0.2046916120556463,0.16294318927099596,0.24793875878578744,
lignocellulosic biomass,26,17,0.12284359474748055,0.07593624170302636,0.1717959572305557,
coffee mucilage,17,2,0.007976025925839394,,,
other,14,8,0.12360282119994155,0.044077620905497265,0.20918528903392625,
industrial wastewater,9,7,0.14069530264623448,0.10593410939078067,0.1765490931425932,
mixed organic waste,9,5,0.12942692061065036,0.030512555819907645,0.2378356399405007,
algal biomass,7,2,0.11913312797787798,0.03846352153403142,0.20606928617714104,
manure / slurry,6,5,0.20085683650693317,0.05517521536796774,0.366651832589297,
sewage sludge,5,5,0.09079626240392917,0.09079626198635919,0.09079626282149915,
glycerol / biodiesel waste,2,2,0.1973767828048112,0.1973767828048112,0.1973767828048112,
municipal solid waste,1,1,,,,not pooled (single study)
