temperature_C,solids_loading_g_VS_per_L,assumed_yield_dm3_per_g_VS,hydrogen_energy_MJ_per_m3,heating_duty_MJ_per_m3,net_MJ_per_m3
37.0,10,0.15,16.2,21.3,-5.1
37.0,10,0.25,27.0,21.3,5.7
37.0,20,0.15,32.4,21.3,11.0
37.0,20,0.25,53.9,21.3,32.6
37.0,50,0.25,134.8,21.3,113.5
37.0,100,0.25,269.7,21.3,248.4
55.0,10,0.15,16.2,43.9,-27.7
55.0,10,0.25,27.0,43.9,-16.9
55.0,20,0.15,32.4,43.9,-11.5
55.0,20,0.25,53.9,43.9,10.0
55.0,50,0.25,134.8,43.9,91.0
55.0,100,0.25,269.7,43.9,225.8
70.0,10,0.15,16.2,62.7,-46.5
70.0,10,0.25,27.0,62.7,-35.7
70.0,20,0.15,32.4,62.7,-30.3
70.0,20,0.25,53.9,62.7,-8.8
70.0,50,0.25,134.8,62.7,72.1
70.0,100,0.25,269.7,62.7,207.0
