seed,study,n_obs,distance_from_training_centroid,mae
0,"Gonzales et al., 2016",3,0.002021408536585362,0.029312214968253744
0,"Valdezvazquez et al., 2004",2,0.12777859146341464,0.07672914146031742
0,"Mars et al., 2010",2,0.20677859146341465,0.08149999999999999
0,"Luo et al., 2010",2,0.07467140853658538,0.1264554280476194
0,"Trad et al., 2015",2,0.0021785914634146197,0.05623789246825407
0,"Albuquerque et al., 2024",11,0.014756863082039925,0.06068258321139955
1,"Cao et al., 2014",4,0.09348202409638554,0.09084035861507919
1,"Ivanova et al., 2009",6,0.11637719076305221,0.1288923666904758
1,"Gonzales et al., 2016",3,0.009455524096385531,0.0447632067777779
1,"Liu et al., 2015",2,0.08115552409638555,0.053500000000000006
1,"Ottaviano et al., 2016",2,0.06444447590361446,0.06751858400000021
1,"Zagklis et al., 2021",2,0.0009444759036144612,0.07483597612698414
1,"Valdezvazquez et al., 2004",2,0.12034447590361447,0.05987681500396844
2,"Ottaviano et al., 2016",2,0.07050252272727273,0.05613311047619046
2,"Zagklis et al., 2021",2,0.007002522727272725,0.06846373897691203
2,"Fan et al., 2005",3,0.06509747727272729,0.030468055000000185
3,"Baeyens et al., 2020",2,0.1514501657142857,0.10877506426190459
3,"Pan et al., 2008",2,0.0877498342857143,0.08229372954761877
3,"Gonzales et al., 2016",3,0.003049834285714287,0.05255654513492062
3,"Liu et al., 2015",2,0.0747498342857143,0.053500000000000006
4,"Pan et al., 2008",2,0.09366423684210527,0.08712435199999968
4,"Azbar et al., 2009",2,0.052216763157894724,0.0692881091428573
4,"Gonzales et al., 2016",3,0.008964236842105261,0.05926544192063499
4,"Martins et al., 2022",3,0.13222423684210527,0.18451099058345408
4,"Zhang et al., 2006",2,0.008025763157894716,0.0381832740952384
4,"Ghimire et al., 2015",11,0.0017984904306219962,0.04603305206618113
4,"Trad et al., 2015",2,0.004764236842105279,0.038467695380952356
4,"Di Perta et al., 2022",11,0.015482418660287073,0.05570073640863174
5,"Cao et al., 2014",4,0.10786093949044587,0.08208237609595959
5,"Pan et al., 2008",2,0.10853443949044587,0.07527820917171725
5,"Cárdenas et al., 2018",16,0.14827818949044588,0.07357103761309537
5,"Luo et al., 2010",2,0.09648443949044588,0.13775310635714322
5,"Jariyaboon et al., 2023",3,0.04963443949044588,0.07045569628667642
5,"Kontodimos et al., 2025",2,0.14938443949044589,0.2695214830584415
6,"Liu et al., 2015",2,0.09639980405405404,0.0535
6,"Cárdenas et al., 2018",16,0.14914355405405405,0.07246113008333338
6,"Akhbari & Ibrahim, 2022",13,0.0943713425155925,0.079427326893662
6,"Martins et al., 2022",3,0.14795980405405404,0.2246789564761907
6,"Valdezvazquez et al., 2004",2,0.10510019594594597,0.06045233799999991
6,"Luo et al., 2010",2,0.09734980405405405,0.13639522702849988
7,"Gonzales et al., 2016",3,0.015403884353741487,0.040175185079365065
7,"Panagiotopoulos et al., 2010",4,0.1598211156462585,0.05772181166666637
7,"Cárdenas et al., 2018",16,0.1398476343537415,0.08129188368371225
7,"Zagklis et al., 2021",2,0.0050038843537414945,0.06793799779581539
7,"Mandal et al., 2006",2,0.2126961156462585,0.1299064523333318
7,"Albuquerque et al., 2024",11,0.02813933889919605,0.06986167444483789
7,"Kontodimos et al., 2025",2,0.1409538843537415,0.3117023435801423
8,"Alibardi & Cossu, 2014",4,0.062406630573248405,0.05117067967710069
8,"Collet, 2004",2,0.048756630573248416,0.15337173080952426
8,"Liu et al., 2015",2,0.06140663057324841,0.0535
8,"Di Perta et al., 2022",11,0.003775187608569791,0.05809316240536226
8,"Akinbomi & Taherzadeh, 2015",9,0.34348225831564055,0.40981505910052934
9,"Alibardi & Cossu, 2014",4,0.07734780666666666,0.07857763098412707
9,"Ivanova et al., 2009",6,0.11156947333333332,0.09406370545238085
9,"Łukajtis et al., 2018",9,0.04769997111111113,0.10752216892239849
9,"Ottaviano et al., 2016",2,0.06925219333333335,0.09318474566666698
9,"Zagklis et al., 2021",2,0.00575219333333335,0.08755544355555564
9,"Fan et al., 2005",3,0.06634780666666666,0.024618254857142762
9,"Ghimire et al., 2015",11,0.006114920606060614,0.05275263105378445
10,"Alibardi & Cossu, 2014",4,0.08150397872340426,0.04864662625641033
10,"Levin et al., 2006",2,0.007146021276595749,0.07593666098809487
10,"Baeyens et al., 2020",2,0.14569602127659576,0.11860189633333318
10,"Zagklis et al., 2021",2,0.0015960212765957493,0.08038495488492066
10,"Fan et al., 2005",3,0.07050397872340426,0.038974637746031736
10,"Ghimire et al., 2015",11,0.001958748549323014,0.04820428627200545
10,"Di Perta et al., 2022",11,0.015322160541586055,0.049271443205461264
10,"Albuquerque et al., 2024",11,0.021539433268858807,0.07909836018542557
10,"Kontodimos et al., 2025",2,0.13435397872340427,0.32459010280863587
11,"Zhang et al., 2006",2,0.01569136309523808,0.018852601428571425
11,"Trad et al., 2015",2,0.0029013630952380853,0.05988502157142875
11,"Albuquerque et al., 2024",11,0.01403409145021646,0.0660037385642792
12,"Cárdenas et al., 2018",16,0.14340407857142856,0.06433642926488106
12,"Zagklis et al., 2021",2,0.00856032857142855,0.07644410371428573
12,"Fan et al., 2005",3,0.08066032857142856,0.029057278666666606
12,"Ghimire et al., 2015",11,0.008197601298701285,0.05740578080375176
12,"Lee et al., 2014",3,0.06889366190476189,0.05497458399999935
12,"Di Perta et al., 2022",11,0.025478510389610354,0.051644109836219296
13,"Ivanova et al., 2009",6,0.11901559481037922,0.1683974613888889
13,"Levin et al., 2006",2,0.0038560718562874463,0.04558903049999987
13,"Pan et al., 2008",2,0.09679392814371256,0.10653957915295799
13,"Mars et al., 2010",2,0.19670607185628747,0.08149999999999999
13,"Lee et al., 2014",3,0.06202726147704589,0.039913797999999445
13,"Jariyaboon et al., 2023",3,0.03789392814371256,0.09540010715295848
13,"Kontodimos et al., 2025",2,0.13764392814371257,0.21249721735508906
14,"Łukajtis et al., 2018",9,0.049323642293906816,0.11685672700160309
14,"Baeyens et al., 2020",2,0.15147586451612904,0.12313367685714295
14,"Zhang et al., 2006",2,0.013965864516129023,0.04181620200000041
14,"Luo et al., 2010",2,0.07567413548387097,0.10602260243650816
14,"Lee et al., 2014",3,0.0529574688172043,0.0336498486666663
14,"Jariyaboon et al., 2023",3,0.028824135483870972,0.08923809836548653
14,"Albuquerque et al., 2024",11,0.015759590029325518,0.07331055992048864
15,"Alibardi & Cossu, 2014",4,0.08015346540880502,0.07886212082142852
15,"Łukajtis et al., 2018",9,0.04489431236897276,0.11740337521003665
15,"Pan et al., 2008",2,0.09215346540880502,0.06771983807142856
15,"Zagklis et al., 2021",2,0.0029465345911949825,0.07760937384523822
15,"Valdezvazquez et al., 2004",2,0.12234653459119499,0.061460903455627866
15,"Zhang et al., 2006",2,0.009536534591194967,0.04413878174603207
15,"Jariyaboon et al., 2023",3,0.03325346540880503,0.11628365316546459
15,"Derdiche et al., 2025",5,0.07618346540880502,0.04398328072900447
16,"Cao et al., 2014",4,0.09363659375,0.06693362448656887
16,"Levin et al., 2006",2,0.006339906249999999,0.05068473038095238
16,"Azbar et al., 2009",2,0.05157090624999999,0.03519660973809538
16,"Gonzales et al., 2016",3,0.009610093749999993,0.07670864602645505
16,"Ghimire et al., 2015",11,0.0011526335227272644,0.04306415159972832
16,"Luo et al., 2010",2,0.08226009375000001,0.13697390159920664
16,"Lee et al., 2014",3,0.059543427083333336,0.0538624866666662
17,"Collet, 2004",2,0.07440210650887574,0.15937079857142902
17,"Liu et al., 2015",2,0.08705210650887574,0.13894878400000044
17,"Martins et al., 2022",3,0.13861210650887573,0.23891773224457072
17,"Zagklis et al., 2021",2,0.004952106508875731,0.04983054750793663
17,"Jariyaboon et al., 2023",3,0.04115210650887574,0.12840647512938974
17,"Derdiche et al., 2025",5,0.08408210650887574,0.05417599095382425
18,"Collet, 2004",2,0.045679460606060596,0.15201807300000056
18,"Zagklis et al., 2021",2,0.023770539393939416,0.09133598986976924
18,"Luo et al., 2010",2,0.05927946060606059,0.1276068904047629
18,"Trad et al., 2015",2,0.017570539393939405,0.03333810866666671
18,"Jariyaboon et al., 2023",3,0.012429460606060594,0.09279808958730157
18,"Akinbomi & Taherzadeh, 2015",9,0.3465594282828284,0.40843930823809543
18,"Kontodimos et al., 2025",2,0.11217946060606059,0.08245413990476191
19,"Baeyens et al., 2020",2,0.14278502409638555,0.10170810580952375
19,"Liu et al., 2015",2,0.08341497590361446,0.14118201409523828
19,"Ottaviano et al., 2016",2,0.062185024096385544,0.03370000000000001
19,"Martins et al., 2022",3,0.13497497590361446,0.2588524633227516
19,"Zhang et al., 2006",2,0.005275024096385528,0.024228539333333354
