study_variance,empirical_icc,between_share_of_response,between_share_of_signal,row_wise_r2,study_grouped_r2,mean_predictor_r2,oracle_r2,leakage_gap,margin_over_mean
0.0,0.227,0.538,0.682,0.289,0.257,-0.02,0.526,0.032,0.277
0.1,0.29,0.574,0.682,0.28,0.19,-0.018,0.484,0.09,0.208
0.25,0.346,0.607,0.682,0.242,0.144,-0.02,0.447,0.098,0.163
0.5,0.416,0.649,0.682,0.217,0.055,-0.021,0.387,0.163,0.076
0.9,0.498,0.697,0.682,0.194,-0.029,-0.027,0.325,0.224,-0.003
1.5,0.582,0.748,0.682,0.162,-0.089,-0.031,0.263,0.251,-0.058
2.5,0.672,0.801,0.682,0.13,-0.158,-0.035,0.192,0.288,-0.122
4.0,0.751,0.849,0.682,0.118,-0.209,-0.035,0.108,0.326,-0.174
6.5,0.821,0.891,0.682,0.09,-0.287,-0.038,0.049,0.376,-0.248
10.0,0.871,0.921,0.682,0.06,-0.359,-0.04,0.013,0.419,-0.319
16.0,0.913,0.947,0.682,0.026,-0.436,-0.039,-0.011,0.461,-0.397
26.0,0.943,0.965,0.682,0.033,-0.427,-0.037,-0.03,0.46,-0.39
