quantity,source_in_paper,manuscript,pipeline,difference,tolerance_type,tolerance,status,likely_cause,note
records in compilation,Section 2.1,261.0,261.0,0.0,exact,0.0,PASS,,
sources in compilation,Section 2.1,84.0,84.0,0.0,exact,0.0,PASS,,
convertible records agreeing,Section 2.1,256.0,201.0,-55.0,exact,0.0,MISMATCH,Conversion arithmetic or 2% tolerance differs,
modelled observations,Section 2.1,224.0,196.0,-28.0,exact,0.0,MISMATCH,Quality-flag logic differs,
modelled studies,Section 2.1,82.0,80.0,-2.0,exact,0.0,MISMATCH,Grouping column differs,
flag_arithmetic,Table S4,1.0,9.0,8.0,exact,0.0,MISMATCH,Tolerance threshold differs,
flag_unit_suspect,Table S4,1.0,2.0,1.0,exact,0.0,MISMATCH,Factor-1000 detection rule differs,
flag_per_slurry,Table S4,16.0,0.0,-16.0,exact,0.0,MISMATCH,Unit-string matching differs,
flag_review_duplicate,Table S4,12.0,0.0,-12.0,exact,0.0,MISMATCH,Source Type column absent or coded differently,
flag_mw_basis,Table S4,1.0,0.0,-1.0,exact,0.0,MISMATCH,MW Basis Note column absent,
flag_above_thauer,Table S4,8.0,8.0,0.0,exact,0.0,PASS,,
flag_exact_duplicate,Table S4,4.0,13.0,9.0,exact,0.0,MISMATCH,Duplicate key definition differs,
target SD,Section 3.1,0.147,0.13334,-0.01366,abs,0.002,MISMATCH,Modelling set composition differs,
RF noise-augmented random,Table 1,0.652,0.65915,0.00715,resample,0.06,TOLERANCE,,
RF row-wise,Table 1,0.439,0.34374,-0.09526,resample,0.06,MISMATCH,Seeds or n_estimators differ,
RF study-grouped,Table 1,-0.174,-0.13701,0.03699,resample,0.06,TOLERANCE,,
CatBoost study-grouped,Table 1,-0.35,-0.16106,0.18894,resample,0.08,MISMATCH,CatBoost defaults differ between versions,
Ridge study-grouped,Table 1,-0.314,-0.37591,-0.06191,resample,0.06,MISMATCH,Alpha or encoding differs,
mean predictor study-grouped,Table 1,-0.18,-0.09407,0.08593,resample,0.05,MISMATCH,Split seeds differ,
RF grouped RMSE,Table S13,0.124,0.11193,-0.01207,abs,0.008,MISMATCH,Follows from the grouped R2 difference,
raw-yield ICC,Section 3.2,0.708,0.66171,-0.04629,abs,0.01,MISMATCH,Modelling set composition differs,
mixed-model ICC,Section 3.2,0.568,0.64311,0.07511,abs,0.02,MISMATCH,REML convergence or transform differs,
mixed-basis beta per C,Table S16,0.00184,0.00132,-0.00052,abs,0.0002,MISMATCH,Complete-case set or mode coding differs,
mixed-basis p,Table S16,0.0083,0.07128,0.06298,abs,0.004,MISMATCH,Complete-case set differs,
mixed-basis n,Table S16,195.0,169.0,-26.0,exact,0.0,MISMATCH,Missing-metadata handling differs,
mixed-basis studies,Table S16,75.0,73.0,-2.0,exact,0.0,MISMATCH,Missing-metadata handling differs,
native-VS beta per C,Section 3.4,0.00137,0.0015,0.00013,abs,0.0003,PASS,,
native-VS p,Section 3.4,0.2969,0.20886,-0.08804,abs,0.05,MISMATCH,Native-VS subset definition differs,
native-VS n,Section 3.4,84.0,91.0,7.0,exact,0.0,MISMATCH,Unit-string filter for 'VS' differs,
native-VS studies,Section 3.4,36.0,36.0,0.0,exact,0.0,PASS,,
native-VS delta Y,Section 3.4,0.027,0.02939,0.00239,abs,0.004,PASS,,
native-VS delta Y lower CI,Section 3.4,-0.023,-0.01611,0.00689,abs,0.006,MISMATCH,Follows from beta and SE,
native-VS delta Y upper CI,Section 3.4,0.079,0.07685,-0.00215,abs,0.006,PASS,,
break-even at 85pct,Section 3.4,39.0,35.6,-3.4,abs,2.0,MISMATCH,Follows from delta Y,
break-even at 70pct,Section 3.4,78.0,71.2,-6.8,abs,3.0,MISMATCH,Follows from delta Y,
break-even at 50pct,Section 3.4,130.0,118.6,-11.4,abs,5.0,MISMATCH,Follows from delta Y,
RF algorithms arm,Table S18,-0.174,-0.13701,0.03699,resample,0.06,TOLERANCE,,
LightGBM,Table S18,-0.249,-0.30062,-0.05162,resample,0.08,TOLERANCE,,
XGBoost,Table S18,-0.498,-0.36829,0.12971,resample,0.1,MISMATCH,Library version defaults differ,
tuned RF,Table S19,-0.103,-0.00945,0.09355,resample,0.08,MISMATCH,Search grid or n_iter differs,
default RF 12 splits,Table S19,-0.043,-0.07559,-0.03259,resample,0.08,TOLERANCE,,
raw-string encoding,Table S20,0.077,-0.05911,-0.13611,resample,0.07,MISMATCH,Raw string normalisation differs,
raw substrate levels,Table S20,69.0,66.0,-3.0,exact,0.0,MISMATCH,Case or whitespace handling differs,
mapped substrate levels,Table S20,12.0,12.0,0.0,exact,0.0,PASS,,
basis ladder all records,Table S26,-0.174,-0.13701,0.03699,resample,0.06,TOLERANCE,,
basis ladder 212,Table S26,-0.019,-0.18141,-0.16241,resample,0.08,MISMATCH,Mass-basis classifier differs,
basis ladder native VS,Table S26,-1.11,-0.73867,0.37133,resample,0.25,MISMATCH,Native-VS subset definition differs,
